timestamp,property,language
2015-10-23T16:20:22Z,P1064,bg
2015-11-13T10:56:20Z,P1064,uk
2016-04-15T17:49:31Z,P1064,he
2016-04-28T05:07:57Z,P1064,nds
2016-06-03T19:04:28Z,P1064,ar
2016-12-14T07:06:24Z,P1064,zh-mo
2016-12-14T07:06:25Z,P1064,zh-my
2016-12-14T07:06:25Z,P1064,zh-sg
2016-12-14T07:06:26Z,P1064,zh-tw
2017-03-13T13:32:32Z,P1064,cy
2017-05-10T17:46:28Z,P1064,hr
2017-07-09T12:14:50Z,P1064,ms
2018-04-20T19:34:27Z,P1064,tt
2018-06-11T21:54:34Z,P1064,hsb
2018-06-19T22:38:50Z,P1064,eo
2018-06-30T13:06:52Z,P1064,tr
2018-08-23T13:49:29Z,P1064,id
2016-01-17T16:51:02Z,P2501,en
2016-01-19T09:32:06Z,P2501,sr
2016-01-20T12:15:29Z,P2501,fr
2016-01-24T12:31:57Z,P2501,pt
2016-01-24T20:02:30Z,P2501,nb
2016-01-26T02:43:38Z,P2501,es
2016-01-26T09:19:49Z,P2501,it
2016-01-26T10:09:46Z,P2501,sv
2016-01-26T14:17:33Z,P2501,lv
2016-01-26T15:22:24Z,P2501,ru
2016-02-02T22:07:13Z,P2501,ca
2016-02-14T23:45:33Z,P2501,nl
2016-02-17T23:00:00Z,P2501,mk
2016-03-09T15:05:07Z,P2501,da
2016-04-06T09:13:23Z,P2501,de
2016-06-13T11:52:41Z,P2501,fo
2016-10-09T19:31:26Z,P2501,el
2016-10-21T06:55:49Z,P2501,pl
2016-12-23T19:23:04Z,P2501,zh-hk
2016-12-23T19:23:05Z,P2501,zh
2016-12-23T19:23:05Z,P2501,zh-cn
2016-12-23T19:23:06Z,P2501,zh-hans
2016-12-23T19:23:06Z,P2501,zh-hant
2016-12-23T19:23:07Z,P2501,zh-mo
2016-12-23T19:23:07Z,P2501,zh-my
2016-12-23T19:23:08Z,P2501,zh-sg
2016-12-23T19:23:09Z,P2501,zh-tw
2017-01-20T15:00:26Z,P2501,ar
2017-03-04T13:11:04Z,P2501,eu
2017-05-02T08:03:11Z,P2501,ja
2017-11-15T02:05:54Z,P2501,ko
2017-12-05T16:32:38Z,P2501,fi
2017-12-11T20:46:40Z,P2501,uk
2018-01-02T12:43:56Z,P2501,ba
2018-01-27T12:58:55Z,P2501,cs
2018-04-09T03:50:24Z,P2501,be-tarask
2018-04-09T03:50:24Z,P2501,be
2016-01-07T19:09:08Z,P2457,en
2016-01-12T14:25:30Z,P2457,ru
2016-01-18T19:00:11Z,P2457,fr
2016-02-14T23:24:32Z,P2457,nl
2016-07-29T12:38:52Z,P2457,mk
2016-10-18T20:22:19Z,P2457,de
2017-04-23T05:53:39Z,P2457,es
2017-12-23T18:25:17Z,P2457,uk
2018-01-06T09:11:50Z,P2457,ar
2018-06-17T22:51:19Z,P2457,zh-hans
2017-12-13T07:43:46Z,P4651,en
2017-12-15T19:01:50Z,P4651,cy
2017-12-25T12:31:42Z,P4651,mk
2018-01-10T22:29:09Z,P4651,uk
2018-03-04T21:37:19Z,P4651,ar
2018-05-05T12:32:56Z,P4651,fr
2013-04-14T12:57:15Z,P421,en
2013-04-14T14:02:40Z,P421,de
2013-04-14T14:04:12Z,P421,sv
2013-04-14T17:22:48Z,P421,zh-hant
2013-04-14T17:22:55Z,P421,zh
2013-04-14T17:23:02Z,P421,zh-hans
2013-04-14T20:09:30Z,P421,en-gb
2013-04-14T22:05:31Z,P421,nl
2013-04-15T07:57:32Z,P421,fa
2013-04-15T09:39:40Z,P421,cs
2013-04-15T09:49:45Z,P421,nds
2013-04-15T11:13:27Z,P421,it
2013-04-15T12:59:54Z,P421,ja
2013-04-15T13:15:52Z,P421,el
2013-04-15T16:49:42Z,P421,ro
2013-04-16T14:03:55Z,P421,fi
2013-04-16T18:37:44Z,P421,nds-nl
2013-04-18T11:36:58Z,P421,uk
2013-04-18T15:20:51Z,P421,da
2013-04-18T17:48:41Z,P421,ru
2013-04-20T04:51:17Z,P421,hu
2013-04-20T15:16:50Z,P421,ka
2013-04-21T11:46:17Z,P421,he
2013-04-23T08:18:06Z,P421,sr
2013-04-23T08:20:45Z,P421,be
2013-04-24T08:51:00Z,P421,ca
2013-04-24T12:27:21Z,P421,fr
2013-04-26T04:23:22Z,P421,pt
2013-04-26T07:54:30Z,P421,th
2013-04-26T17:08:36Z,P421,min
2013-04-26T17:09:19Z,P421,id
2013-04-26T17:12:12Z,P421,es
2013-04-29T19:05:22Z,P421,ckb
2013-04-30T13:03:26Z,P421,ko
2013-05-03T12:02:41Z,P421,se
2013-05-03T20:02:06Z,P421,pl
2013-05-05T08:28:46Z,P421,vi
2013-05-10T19:33:06Z,P421,nb
2013-05-10T19:33:12Z,P421,no
2013-05-14T10:27:31Z,P421,yi
2013-05-15T07:47:01Z,P421,oc
2013-05-16T23:51:35Z,P421,mk
2013-05-24T15:40:56Z,P421,bn
2013-05-26T14:56:48Z,P421,sl
2013-05-29T10:27:32Z,P421,lv
2013-05-31T13:28:22Z,P421,nn
2013-05-31T20:12:05Z,P421,ilo
2013-06-02T14:41:41Z,P421,rm
2013-06-22T19:17:32Z,P421,gu
2013-06-26T16:15:45Z,P421,ms
2013-06-27T11:34:23Z,P421,bs
2013-07-02T11:23:28Z,P421,gl
2013-07-15T03:03:22Z,P421,zh-cn
2013-08-19T10:27:08Z,P421,be-tarask
2013-08-29T03:55:06Z,P421,pt-br
2013-10-05T17:23:47Z,P421,mg
2013-10-06T07:59:21Z,P421,et
2013-10-09T08:30:13Z,P421,mr
2013-10-11T12:28:17Z,P421,gsw
2013-10-13T14:53:45Z,P421,lb
2013-11-15T20:00:02Z,P421,sk
2013-11-16T14:41:20Z,P421,tt
2013-11-26T08:02:02Z,P421,en-ca
2013-12-03T21:55:09Z,P421,eo
2013-12-04T21:31:15Z,P421,sco
2013-12-23T09:31:22Z,P421,zh-hk
2014-01-28T09:16:55Z,P421,te
2014-03-05T15:14:43Z,P421,zh-tw
2014-03-16T01:42:58Z,P421,ce
2014-03-18T13:21:14Z,P421,sr-ec
2014-03-18T13:21:20Z,P421,sr-el
2014-03-29T16:51:39Z,P421,la
2014-05-07T15:23:35Z,P421,is
2014-08-14T20:36:06Z,P421,ia
2014-08-16T06:22:02Z,P421,af
2014-08-22T16:17:05Z,P421,ksh
2014-08-26T14:46:33Z,P421,tr
2014-09-07T18:35:04Z,P421,eu
2014-09-21T14:33:56Z,P421,scn
2015-03-24T17:53:51Z,P421,hr
2015-04-08T16:00:58Z,P421,ne
2015-09-12T08:49:20Z,P421,lt
2015-09-12T09:38:07Z,P421,az
2015-10-29T01:50:44Z,P421,ast
2015-12-31T19:17:07Z,P421,cy
2016-01-15T19:12:41Z,P421,ar
2016-05-01T06:10:45Z,P421,ta
2016-08-15T04:43:46Z,P421,ml
2016-08-27T13:25:28Z,P421,hy
2016-09-13T07:56:55Z,P421,bg
2016-11-06T18:11:49Z,P421,zh-mo
2016-11-06T18:11:50Z,P421,zh-my
2016-11-06T18:11:51Z,P421,zh-sg
2016-11-21T05:17:25Z,P421,ba
2017-01-02T18:33:07Z,P421,hsb
2017-06-05T13:55:25Z,P421,tg
2017-07-11T18:59:44Z,P421,sq
2017-07-25T18:11:36Z,P421,br
2017-10-20T18:42:32Z,P421,ur
2018-06-02T16:51:51Z,P421,pa
2018-07-28T17:06:31Z,P421,frr
2013-06-16T19:04:40Z,P634,en
2013-06-16T19:16:10Z,P634,de
2013-06-16T19:47:09Z,P634,hu
2013-06-17T11:20:46Z,P634,fr
2013-06-17T13:50:50Z,P634,nl
2013-06-17T14:30:56Z,P634,lv
2013-06-18T19:16:25Z,P634,cs
2013-06-18T19:38:50Z,P634,pl
2013-06-18T21:12:01Z,P634,fa
2013-06-22T06:21:11Z,P634,ca
2013-06-22T14:35:10Z,P634,sr
2013-06-22T14:35:12Z,P634,sr-ec
2013-06-22T14:35:17Z,P634,sr-el
2013-06-23T17:13:47Z,P634,es
2013-06-24T08:03:11Z,P634,ru
2013-06-26T08:38:33Z,P634,be-tarask
2013-06-27T07:24:54Z,P634,ms
2013-06-27T09:51:15Z,P634,be
2013-06-29T11:25:31Z,P634,bs
2013-07-04T13:52:45Z,P634,it
2013-08-20T04:42:49Z,P634,pt
2013-08-20T10:21:41Z,P634,el
2013-08-29T03:42:13Z,P634,pt-br
2013-09-14T22:42:00Z,P634,mk
2013-09-15T20:32:42Z,P634,oc
2013-10-07T11:32:56Z,P634,ja
2013-11-03T16:30:56Z,P634,da
2013-12-03T19:17:22Z,P634,zh
2014-02-22T23:44:40Z,P634,nb
2014-02-28T18:26:51Z,P634,sv
2014-03-03T12:04:54Z,P634,te
2014-03-08T16:27:31Z,P634,ko
2014-05-27T12:37:20Z,P634,fi
2014-06-04T08:49:02Z,P634,zh-hans
2014-08-07T13:12:16Z,P634,sco
2014-09-02T01:24:23Z,P634,en-gb
2014-12-14T10:48:23Z,P634,scn
2015-03-27T07:39:47Z,P634,uk
2015-09-12T21:00:23Z,P634,lt
2015-10-23T15:59:22Z,P634,bg
2016-02-14T13:49:10Z,P634,mt
2016-02-28T10:22:17Z,P634,ar
2016-05-11T10:55:46Z,P634,ta
2016-07-05T15:45:53Z,P634,eu
2017-02-22T11:41:26Z,P634,he
2017-03-13T09:55:00Z,P634,cy
2017-06-10T17:34:55Z,P634,bn
2017-11-10T14:05:56Z,P634,tr
2018-02-12T12:19:37Z,P634,et
2018-05-12T01:28:52Z,P634,lfn
2018-06-30T22:02:59Z,P634,eo
2017-11-24T13:58:41Z,P4573,en
2017-12-03T11:31:53Z,P4573,mk
2017-12-04T21:36:42Z,P4573,fr
2017-12-15T17:27:54Z,P4573,ar
2017-12-22T20:56:25Z,P4573,uk
2018-01-03T12:51:16Z,P4573,ca
2018-05-15T15:56:29Z,P4573,fa
2018-06-17T18:33:14Z,P4573,zh-hans
2018-07-23T10:06:22Z,P4573,be-tarask
2018-03-03T10:09:45Z,P4906,en
2018-03-03T10:10:29Z,P4906,fr
2018-03-03T11:35:05Z,P4906,pl
2018-03-03T14:06:52Z,P4906,sr
2018-03-03T14:59:29Z,P4906,uk
2018-03-13T15:26:32Z,P4906,ar
2017-09-15T14:16:06Z,P4231,en
2017-09-18T13:21:00Z,P4231,mk
2017-09-18T18:09:11Z,P4231,fr
2017-09-25T17:14:52Z,P4231,sr
2018-01-11T20:25:37Z,P4231,uk
2018-02-18T12:54:12Z,P4231,ar
2018-03-21T02:51:32Z,P4231,ja
2018-06-21T21:45:06Z,P4231,zh-hans
2016-05-05T15:47:56Z,P2812,en
2016-05-05T20:02:24Z,P2812,nl
2016-05-06T08:58:00Z,P2812,pl
2016-05-08T09:29:05Z,P2812,ko
2016-05-08T10:58:36Z,P2812,ru
2016-05-09T21:36:40Z,P2812,hu
2016-05-10T05:17:05Z,P2812,fr
2016-05-15T18:51:22Z,P2812,nb
2016-05-19T16:04:07Z,P2812,de
2016-05-28T12:17:27Z,P2812,mk
2016-05-31T12:17:34Z,P2812,el
2016-06-05T06:08:20Z,P2812,en-ca
2016-06-05T06:08:21Z,P2812,en-gb
2016-06-19T12:06:41Z,P2812,it
2016-08-06T18:10:02Z,P2812,ca
2016-09-29T10:30:20Z,P2812,zh-tw
2016-10-15T21:23:12Z,P2812,pt
2016-10-15T21:23:13Z,P2812,pt-br
2017-01-13T17:02:30Z,P2812,cs
2017-03-23T21:57:43Z,P2812,he
2017-04-23T06:05:30Z,P2812,es
2017-04-30T17:17:31Z,P2812,fi
2017-07-04T15:22:37Z,P2812,fa
2017-09-04T08:17:46Z,P2812,vi
2017-09-10T20:31:41Z,P2812,eo
2017-10-21T17:22:13Z,P2812,ba
2017-11-01T22:41:39Z,P2812,be-tarask
2017-11-05T12:33:48Z,P2812,da
2017-11-27T09:50:36Z,P2812,uk
2018-01-16T14:48:48Z,P2812,sr
2018-04-30T10:09:47Z,P2812,ar
2018-08-02T14:07:24Z,P2812,nn
2014-12-31T05:14:49Z,P1673,en
2015-01-02T10:37:40Z,P1673,pl
2015-01-03T13:09:15Z,P1673,nb
2015-01-03T23:03:54Z,P1673,de
2015-01-04T10:15:57Z,P1673,cs
2015-01-05T13:18:51Z,P1673,sr
2015-01-09T19:43:41Z,P1673,ru
2015-01-12T20:50:49Z,P1673,hu
2015-01-15T05:24:00Z,P1673,pt
2015-01-16T13:57:30Z,P1673,ja
2015-02-22T14:09:16Z,P1673,nl
2015-03-11T09:31:58Z,P1673,ca
2015-04-16T03:58:20Z,P1673,es
2015-10-22T02:29:30Z,P1673,pt-br
2016-05-13T13:47:07Z,P1673,ar
2016-05-21T10:37:07Z,P1673,ta
2016-06-03T13:23:37Z,P1673,bn
2016-07-10T22:00:10Z,P1673,mk
2016-11-30T15:06:36Z,P1673,fr
2017-08-10T04:23:39Z,P1673,zh-tw
2017-12-22T16:40:13Z,P1673,uk
2018-07-26T10:43:47Z,P1673,nn
2013-05-12T20:43:39Z,P514,en
2013-05-12T20:44:07Z,P514,de
2013-05-13T18:31:25Z,P514,fa
2013-05-15T08:05:40Z,P514,ca
2013-05-17T00:22:57Z,P514,mk
2013-06-27T08:48:41Z,P514,ms
2013-07-06T02:51:45Z,P514,ru
2013-08-29T04:59:32Z,P514,pt
2013-09-15T06:54:56Z,P514,be
2013-09-16T16:47:30Z,P514,oc
2013-09-28T12:30:33Z,P514,nb
2013-10-16T20:01:24Z,P514,es
2013-12-18T03:15:49Z,P514,fr
2014-06-30T06:13:54Z,P514,nl
2014-09-10T20:56:56Z,P514,ia
2014-11-23T09:14:27Z,P514,scn
2015-09-21T22:11:26Z,P514,sr
2017-12-01T15:46:51Z,P514,ar
2017-12-02T07:07:01Z,P514,uk
2018-06-16T21:50:58Z,P514,zh-hans
2016-09-08T06:39:12Z,P3148,fr
2016-09-08T06:42:45Z,P3148,en
2016-09-08T07:38:26Z,P3148,ru
2016-09-08T13:52:38Z,P3148,ko
2016-09-08T14:56:03Z,P3148,en-gb
2016-09-08T20:14:41Z,P3148,mk
2016-09-10T21:21:38Z,P3148,pt
2016-09-10T23:39:19Z,P3148,sr
2016-09-13T09:46:23Z,P3148,de
2016-09-13T10:41:45Z,P3148,es
2016-09-13T12:49:14Z,P3148,sv
2016-09-14T07:56:49Z,P3148,it
2016-09-14T10:25:13Z,P3148,nb
2016-09-16T20:23:12Z,P3148,ca
2017-02-18T23:30:49Z,P3148,nl
2017-12-15T17:09:41Z,P3148,uk
2017-12-21T16:28:13Z,P3148,ar
2018-02-06T04:08:36Z,P3148,ja
2018-03-22T15:21:29Z,P3148,pl
2018-04-17T12:14:57Z,P3148,et
2018-05-14T19:46:25Z,P3148,eo
2018-06-19T16:05:09Z,P3148,zh-hans
2018-07-05T12:15:46Z,P3148,hu
2015-09-20T14:53:11Z,P2089,en
2015-09-21T06:32:03Z,P2089,ru
2015-09-21T12:39:19Z,P2089,fr
2015-09-23T20:25:58Z,P2089,nl
2015-09-26T18:54:24Z,P2089,da
2015-09-30T22:31:39Z,P2089,hu
2016-07-29T11:05:33Z,P2089,mk
2017-02-01T07:33:38Z,P2089,de
2017-03-07T07:21:59Z,P2089,be-tarask
2017-12-23T11:26:03Z,P2089,uk
2018-01-04T14:18:11Z,P2089,ar
2018-06-10T09:14:15Z,P5286,en
2018-06-11T10:31:31Z,P5286,he
2018-06-12T15:42:22Z,P5286,uk
2018-06-14T19:10:10Z,P5286,ar
2018-07-25T09:58:24Z,P5286,de
2018-01-20T10:14:21Z,P4763,en
2018-01-20T10:19:03Z,P4763,fr
2018-01-20T16:38:16Z,P4763,pl
2018-01-20T16:58:21Z,P4763,uk
2018-01-21T23:17:53Z,P4763,nl
2018-02-10T13:23:53Z,P4763,ru
2018-02-11T18:05:25Z,P4763,bn
2018-03-05T14:50:39Z,P4763,ar
2018-05-23T18:29:07Z,P4763,ko
2015-09-17T10:05:56Z,P2079,en
2015-09-17T10:06:29Z,P2079,fr
2015-09-17T16:14:31Z,P2079,de
2015-09-17T18:32:50Z,P2079,sr
2015-09-17T21:51:02Z,P2079,es
2015-09-18T06:18:16Z,P2079,ru
2015-09-18T08:48:58Z,P2079,pl
2015-09-20T14:52:21Z,P2079,nl
2015-09-21T23:46:12Z,P2079,it
2015-09-23T08:28:40Z,P2079,da
2015-09-30T22:29:52Z,P2079,hu
2015-10-02T01:52:10Z,P2079,pt
2015-11-07T02:00:00Z,P2079,ja
2015-12-12T08:48:31Z,P2079,ro
2015-12-13T17:04:26Z,P2079,mk
2016-01-14T02:42:28Z,P2079,ko
2016-04-19T12:42:35Z,P2079,zh
2016-04-19T12:42:36Z,P2079,zh-hans
2016-05-12T10:21:09Z,P2079,cs
2016-05-17T06:05:54Z,P2079,nb
2016-07-22T05:32:54Z,P2079,uk
2016-08-04T19:03:15Z,P2079,en-gb
2016-08-04T19:03:16Z,P2079,en-ca
2016-09-19T16:21:54Z,P2079,sv
2016-09-24T14:13:39Z,P2079,be
2016-11-06T17:25:15Z,P2079,ca
2016-12-27T14:53:20Z,P2079,ar
2017-01-21T16:34:18Z,P2079,fi
2017-01-23T10:23:45Z,P2079,oc
2017-04-08T11:52:23Z,P2079,tg
2017-04-14T21:46:57Z,P2079,hy
2017-07-31T17:22:13Z,P2079,sl
2017-08-02T12:51:08Z,P2079,nn
2017-10-22T04:06:27Z,P2079,ba
2018-04-28T11:59:16Z,P2079,zh-hant
2018-06-10T10:35:45Z,P2079,tr
2018-07-13T23:00:40Z,P2079,eo
2018-08-09T18:35:22Z,P5608,en
2018-08-09T18:40:54Z,P5608,de
2018-08-09T18:40:55Z,P5608,fr
2018-08-11T07:06:34Z,P5608,sr
2018-08-12T06:38:21Z,P5608,mk
2018-08-12T14:20:58Z,P5608,nb
2018-08-13T13:21:06Z,P5608,pt
2018-08-13T20:25:09Z,P5608,pl
2018-08-15T21:54:00Z,P5608,zh-hans
2018-08-30T09:04:35Z,P5608,ar
2015-11-16T21:27:58Z,P2317,en
2015-11-17T00:04:26Z,P2317,sv
2015-11-17T16:20:14Z,P2317,ru
2015-11-19T06:23:40Z,P2317,es
2015-11-19T06:29:54Z,P2317,de
2015-11-19T06:29:56Z,P2317,fr
2015-11-19T06:29:57Z,P2317,it
2015-11-19T06:30:43Z,P2317,pt
2015-11-20T13:41:18Z,P2317,sr
2015-11-23T12:53:55Z,P2317,nl
2015-11-23T20:24:46Z,P2317,pl
2016-05-11T10:53:43Z,P2317,ta
2016-05-19T19:04:27Z,P2317,ca
2016-06-13T15:35:07Z,P2317,ko
2016-06-27T17:28:54Z,P2317,pt-br
2016-07-11T01:21:42Z,P2317,mk
2016-07-23T14:30:49Z,P2317,hu
2016-08-17T12:56:10Z,P2317,en-gb
2016-08-18T22:57:44Z,P2317,he
2016-12-17T17:54:41Z,P2317,nb
2016-12-17T17:54:41Z,P2317,nn
2017-03-22T10:03:36Z,P2317,ar
2017-12-22T17:35:25Z,P2317,uk
2018-06-17T17:37:14Z,P2317,zh-hans
2014-07-01T21:06:05Z,P1396,en
2014-07-02T09:28:29Z,P1396,ru
2014-07-05T11:15:51Z,P1396,pl
2014-07-05T15:05:37Z,P1396,hu
2014-07-05T23:03:03Z,P1396,fr
2014-07-06T01:26:42Z,P1396,nl
2014-07-06T10:30:38Z,P1396,zh-hant
2014-07-07T06:15:43Z,P1396,nb
2014-07-07T09:34:00Z,P1396,zh
2014-07-13T20:14:50Z,P1396,es
2014-07-29T11:31:41Z,P1396,it
2014-08-09T09:25:27Z,P1396,ca
2014-09-23T17:54:10Z,P1396,mk
2014-12-23T14:10:41Z,P1396,scn
2015-03-12T21:11:48Z,P1396,bs
2015-03-24T12:29:14Z,P1396,de
2015-05-15T01:12:14Z,P1396,pt
2015-06-28T20:47:50Z,P1396,eo
2016-06-02T13:43:53Z,P1396,id
2016-10-06T08:16:06Z,P1396,zh-hans
2017-08-03T23:42:59Z,P1396,zh-tw
2017-12-10T16:13:17Z,P1396,ar
2017-12-22T16:35:51Z,P1396,uk
2018-06-01T07:44:15Z,P5229,en
2018-06-01T08:39:19Z,P5229,sr
2018-06-01T08:59:32Z,P5229,fr
2018-06-01T15:01:34Z,P5229,ar
2018-06-01T19:08:52Z,P5229,uk
2014-08-11T15:54:40Z,P1436,en
2014-08-11T21:08:27Z,P1436,be
2014-08-12T06:49:40Z,P1436,ru
2014-08-12T21:08:17Z,P1436,be-tarask
2014-08-13T08:49:38Z,P1436,sr
2014-08-13T08:49:49Z,P1436,sr-ec
2014-08-13T08:49:54Z,P1436,sr-el
2014-08-14T15:56:50Z,P1436,fa
2014-08-14T19:29:12Z,P1436,pl
2014-08-14T20:50:46Z,P1436,hu
2014-08-16T10:51:38Z,P1436,da
2014-08-17T13:27:14Z,P1436,nl
2014-08-17T18:07:21Z,P1436,sv
2014-08-18T06:24:46Z,P1436,nb
2014-08-18T07:05:04Z,P1436,it
2014-08-18T10:21:40Z,P1436,el
2014-08-18T11:42:21Z,P1436,lv
2014-08-18T12:13:26Z,P1436,fr
2014-08-26T12:48:28Z,P1436,ja
2014-08-28T00:57:30Z,P1436,zh-hans
2014-09-06T20:49:06Z,P1436,de
2014-09-21T13:33:35Z,P1436,mk
2014-11-19T11:13:53Z,P1436,ca
2014-11-21T00:43:33Z,P1436,sco
2014-11-22T23:41:25Z,P1436,bs
2014-11-30T09:11:58Z,P1436,uk
2015-01-19T08:29:08Z,P1436,vi
2015-04-16T04:12:26Z,P1436,es
2016-08-25T10:37:28Z,P1436,cs
2017-03-13T10:13:06Z,P1436,cy
2017-04-06T11:55:57Z,P1436,tg
2017-09-21T11:34:38Z,P1436,ar
